basename,negative,neutral,positive
train/0002/ex03_happy_00039,0.1305181235074997,0.8294515013694763,0.04003039747476578
train/0002/ex03_laughing_00195,0.010009772144258022,0.20611141622066498,0.783878743648529
train/0002/ex03_default_emphasis_00063,0.07765448838472366,0.8171347975730896,0.10521066188812256
train/0002/ex03_laughing_00298,0.0891716331243515,0.8508321642875671,0.059996169060468674
train/0002/ex03_sad_00236,0.07085045427083969,0.21308884024620056,0.7160606980323792
train/0002/ex03_enunciated_00283,0.0027477890253067017,0.022368919104337692,0.9748832583427429
train/0002/ex03_default_00246,0.1059250682592392,0.7717429399490356,0.12233194708824158
train/0002/ex03_laughing_00040,0.08138782531023026,0.8076333999633789,0.11097879707813263
train/0002/ex03_confused_00320,0.07358518987894058,0.8892791867256165,0.03713560849428177
train/0002/ex03_happy_00036,0.01103247981518507,0.880673885345459,0.10829358547925949
train/0002/ex03_default_00091,0.024219220504164696,0.9387019872665405,0.03707881271839142
train/0002/ex03_enunciated_00054,0.03691314533352852,0.22859016060829163,0.7344967722892761
train/0002/ex03_laughing_00297,0.34483858942985535,0.6080770492553711,0.047084346413612366
train/0002/ex03_enunciated_00181,0.02202427014708519,0.8415306210517883,0.1364450603723526
train/0002/ex03_default_00144,0.001534031704068184,0.018481232225894928,0.9799847602844238
train/0002/ex03_sad_00239,0.04655146598815918,0.9106012582778931,0.04284720867872238
train/0002/ex03_confused_00022,0.00669866893440485,0.4185035228729248,0.5747978091239929
train/0002/ex03_default_00249,0.001409041928127408,0.029685065150260925,0.9689059257507324
train/0002/ex03_sad_00134,0.0702761635184288,0.8772693276405334,0.05245456472039223
train/0002/ex03_default_emphasis_00085,0.4340028464794159,0.4847894608974457,0.08120765537023544
train/0002/ex03_sad_00008,0.2565094232559204,0.7042161822319031,0.03927433118224144
train/0002/ex03_laughing_00173,0.5878153443336487,0.35178104043006897,0.06040366366505623
train/0002/ex03_confused_00213,0.012239496223628521,0.17260998487472534,0.8151504993438721
train/0002/ex03_sad_00305,0.006732316222041845,0.09526332467794418,0.8980043530464172
train/0002/ex03_default_00078,0.38885319232940674,0.5822727680206299,0.028873976320028305
train/0002/ex03_whisper_00242,0.032693494111299515,0.7399571537971497,0.22734929621219635
train/0002/ex03_enunciated_00168,0.24593503773212433,0.706681489944458,0.04738346487283707
train/0002/ex03_happy_00207,0.006683720275759697,0.9497421383857727,0.04357415437698364
train/0002/ex03_default_emphasis_00150,0.08522647619247437,0.8802830576896667,0.03449046611785889
train/0002/ex03_enunciated_00265,0.5591064691543579,0.4112805426120758,0.029612934216856956
train/0002/ex03_sad_00007,0.8549458384513855,0.12841327488422394,0.016640879213809967
train/0002/ex03_default_00077,0.5482242703437805,0.38212570548057556,0.06965003907680511
train/0002/ex03_laughing_00271,0.09719126671552658,0.37061023712158203,0.5321984887123108
train/0002/ex03_confused_00111,0.5540618896484375,0.43421879410743713,0.01171928271651268
train/0002/ex03_happy_00208,0.024713430553674698,0.701988697052002,0.27329787611961365
train/0002/ex03_enunciated_00167,0.011023887433111668,0.8084061145782471,0.18057000637054443
train/0002/ex03_happy_00105,0.002734140492975712,0.45144012570381165,0.545825719833374
train/0002/ex03_whisper_00095,0.1614694744348526,0.8117594122886658,0.026771167293190956
train/0002/ex03_default_essentials_00024,0.007132745813578367,0.13990214467048645,0.8529651165008545
train/0002/ex03_whisper_00215,0.09386184066534042,0.8671627640724182,0.03897547349333763
train/0002/ex03_laughing_00229,0.04391935467720032,0.9225332736968994,0.03354745730757713
train/0002/ex03_confused_00149,0.6424664258956909,0.3475932478904724,0.009940337389707565
train/0002/ex03_default_00322,0.12925660610198975,0.38423100113868713,0.4865123927593231
train/0002/ex03_happy_00088,0.058864839375019073,0.8684824705123901,0.07265274971723557
train/0002/ex03_confused_00244,0.014272523112595081,0.8301792740821838,0.15554814040660858
train/0002/ex03_laughing_00124,0.3695252239704132,0.5886554718017578,0.041819363832473755
train/0002/ex03_enunciated_00232,0.044629182666540146,0.2225862592458725,0.7327845096588135
train/0002/ex03_default_emphasis_00107,0.08821946382522583,0.8826375007629395,0.029143070802092552
train/0002/ex03_sad_00287,0.2511812448501587,0.7225874662399292,0.026231326162815094
train/0002/ex03_happy_00250,0.6551523208618164,0.3381151854991913,0.0067325495183467865
train/0002/ex03_default_00020,0.0011593588860705495,0.014060087502002716,0.9847805500030518
train/0002/ex03_confused_00146,0.006689869798719883,0.8292211890220642,0.16408896446228027
train/0002/ex03_laughing_00226,0.0012665610993281007,0.22329966723918915,0.7754337787628174
train/0002/ex03_whisper_00117,0.0023263294715434313,0.4297848641872406,0.5678887963294983
train/0002/ex03_happy_00087,0.7201869487762451,0.2679121792316437,0.011900868266820908
train/0002/ex03_sad_00050,0.26238957047462463,0.7016577124595642,0.03595268726348877
train/0002/ex03_default_emphasis_00108,0.025358684360980988,0.9300779104232788,0.044563427567481995
train/0002/ex03_sad_00185,0.008594511076807976,0.2811390161514282,0.7102664709091187
train/0002/ex03_happy_00152,0.34095120429992676,0.6258883476257324,0.03316046670079231
train/0002/ex03_enunciated_00130,0.039741817861795425,0.7045941352844238,0.25566405057907104
train/0002/ex03_sad_00288,0.012361902743577957,0.35492146015167236,0.6327166557312012
train/0002/ex03_confused_00093,0.09693872183561325,0.8053513169288635,0.09770989418029785
train/0002/ex03_default_emphasis_00034,0.015133252367377281,0.26599130034446716,0.7188754677772522
