basename,confused,default,enunciated,happy,laughing,sad
train/0000/ex01_confused_00001,1,0,0,0,0,0
train/0000/ex01_confused_00002,1,0,0,0,0,0
train/0000/ex01_confused_00003,1,0,0,0,0,0
train/0000/ex01_confused_00004,1,0,0,0,0,0
train/0000/ex01_confused_00005,1,0,0,0,0,0
train/0000/ex01_confused_00006,1,0,0,0,0,0
train/0000/ex01_confused_00007,1,0,0,0,0,0
train/0000/ex01_confused_00008,1,0,0,0,0,0
train/0000/ex01_confused_00009,1,0,0,0,0,0
train/0000/ex01_confused_00010,1,0,0,0,0,0
train/0000/ex01_confused_00011,1,0,0,0,0,0
train/0000/ex01_confused_00012,1,0,0,0,0,0
train/0000/ex01_confused_00013,1,0,0,0,0,0
train/0000/ex01_confused_00014,1,0,0,0,0,0
train/0000/ex01_confused_00015,1,0,0,0,0,0
train/0000/ex01_confused_00016,1,0,0,0,0,0
train/0000/ex01_confused_00017,1,0,0,0,0,0
train/0000/ex01_confused_00018,1,0,0,0,0,0
train/0000/ex01_confused_00019,1,0,0,0,0,0
train/0000/ex01_confused_00020,1,0,0,0,0,0
train/0000/ex01_confused_00021,1,0,0,0,0,0
train/0000/ex01_confused_00022,1,0,0,0,0,0
train/0000/ex01_confused_00023,1,0,0,0,0,0
train/0000/ex01_confused_00024,1,0,0,0,0,0
train/0000/ex01_confused_00025,1,0,0,0,0,0
train/0000/ex01_confused_00026,1,0,0,0,0,0
train/0000/ex01_confused_00027,1,0,0,0,0,0
train/0000/ex01_confused_00028,1,0,0,0,0,0
train/0000/ex01_confused_00029,1,0,0,0,0,0
train/0000/ex01_confused_00030,1,0,0,0,0,0
train/0000/ex01_confused_00031,1,0,0,0,0,0
train/0000/ex01_confused_00032,1,0,0,0,0,0
train/0000/ex01_confused_00033,1,0,0,0,0,0
train/0000/ex01_confused_00034,1,0,0,0,0,0
train/0000/ex01_confused_00035,1,0,0,0,0,0
train/0000/ex01_confused_00036,1,0,0,0,0,0
train/0000/ex01_confused_00037,1,0,0,0,0,0
train/0000/ex01_confused_00038,1,0,0,0,0,0
train/0000/ex01_confused_00039,1,0,0,0,0,0
train/0000/ex01_confused_00040,1,0,0,0,0,0
train/0000/ex01_confused_00041,1,0,0,0,0,0
train/0000/ex01_confused_00042,1,0,0,0,0,0
train/0000/ex01_confused_00043,1,0,0,0,0,0
train/0000/ex01_confused_00044,1,0,0,0,0,0
train/0000/ex01_confused_00045,1,0,0,0,0,0
train/0000/ex01_confused_00046,1,0,0,0,0,0
train/0000/ex01_confused_00047,1,0,0,0,0,0
train/0000/ex01_confused_00048,1,0,0,0,0,0
train/0000/ex01_confused_00049,1,0,0,0,0,0
train/0000/ex01_confused_00050,1,0,0,0,0,0
train/0000/ex01_confused_00051,1,0,0,0,0,0
train/0000/ex01_confused_00052,1,0,0,0,0,0
train/0000/ex01_confused_00053,1,0,0,0,0,0
train/0000/ex01_confused_00054,1,0,0,0,0,0
train/0000/ex01_confused_00055,1,0,0,0,0,0
train/0000/ex01_confused_00056,1,0,0,0,0,0
train/0000/ex01_confused_00057,1,0,0,0,0,0
train/0000/ex01_confused_00058,1,0,0,0,0,0
train/0000/ex01_confused_00059,1,0,0,0,0,0
train/0000/ex01_confused_00060,1,0,0,0,0,0
train/0000/ex01_confused_00061,1,0,0,0,0,0
train/0000/ex01_confused_00062,1,0,0,0,0,0
train/0000/ex01_confused_00063,1,0,0,0,0,0
train/0000/ex01_confused_00064,1,0,0,0,0,0
train/0000/ex01_confused_00065,1,0,0,0,0,0
train/0000/ex01_confused_00066,1,0,0,0,0,0
train/0000/ex01_confused_00067,1,0,0,0,0,0
train/0000/ex01_confused_00068,1,0,0,0,0,0
train/0000/ex01_confused_00069,1,0,0,0,0,0
train/0000/ex01_confused_00070,1,0,0,0,0,0
train/0000/ex01_confused_00071,1,0,0,0,0,0
train/0000/ex01_confused_00072,1,0,0,0,0,0
train/0000/ex01_confused_00073,1,0,0,0,0,0
train/0000/ex01_confused_00074,1,0,0,0,0,0
