basename,anger,disgust,fear,joy,neutral,sadness,surprise
dev/0000/dia0_utt0,0,0,0,0,0,1,0
dev/0001/dia0_utt1,0,0,0,0,0,0,1
dev/0001/dia100_utt0,0,0,0,0,1,0,0
dev/0002/dia101_utt0,0,0,0,0,0,1,0
dev/0001/dia102_utt0,0,0,0,0,1,0,0
dev/0002/dia102_utt1,0,0,0,0,1,0,0
dev/0001/dia103_utt0,0,0,0,0,1,0,0
dev/0002/dia103_utt1,0,0,0,0,0,1,0
dev/0001/dia103_utt2,0,0,0,1,0,0,0
dev/0001/dia103_utt3,0,0,0,0,1,0,0
dev/0001/dia103_utt4,0,0,0,1,0,0,0
dev/0003/dia104_utt0,0,0,0,1,0,0,0
dev/0003/dia104_utt1,0,0,0,0,0,1,0
dev/0001/dia104_utt10,0,0,0,0,0,0,1
dev/0003/dia104_utt11,0,0,1,0,0,0,0
dev/0001/dia104_utt12,0,0,0,0,0,0,1
dev/0003/dia104_utt13,0,0,1,0,0,0,0
dev/0001/dia104_utt14,0,0,0,1,0,0,0
dev/0003/dia104_utt15,1,0,0,0,0,0,0
dev/0001/dia104_utt2,0,0,0,1,0,0,0
dev/0003/dia104_utt3,0,0,0,0,1,0,0
dev/0001/dia104_utt4,0,0,0,0,0,0,1
dev/0003/dia104_utt5,1,0,0,0,0,0,0
dev/0001/dia104_utt6,0,0,0,1,0,0,0
dev/0003/dia104_utt7,0,0,0,1,0,0,0
dev/0001/dia104_utt8,0,0,0,0,0,0,1
dev/0003/dia104_utt9,0,0,1,0,0,0,0
dev/0001/dia105_utt0,0,0,0,0,1,0,0
dev/0001/dia105_utt1,0,0,0,0,1,0,0
dev/0001/dia105_utt10,1,0,0,0,0,0,0
dev/0001/dia105_utt11,1,0,0,0,0,0,0
dev/0001/dia105_utt2,1,0,0,0,0,0,0
dev/0001/dia105_utt3,1,0,0,0,0,0,0
dev/0003/dia105_utt4,0,0,0,1,0,0,0
dev/0001/dia105_utt5,0,0,0,0,1,0,0
dev/0001/dia105_utt6,0,0,0,0,1,0,0
dev/0001/dia105_utt7,0,0,0,0,1,0,0
